,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,261,77.90%,74,22.10%,"31,990",78.60%,"8,693",21.40%,"3,248",74.00%,"1,141",26.00%,"3,620",86.30%,573,13.70%,"1,076",77.90%,305,22.10%,"23,178",92.60%,"1,846",7.40%,"2,880",86.90%,433,13.10%,"5,740",85.90%,945,14.10%,"12,148",94.10%,761,5.90%,"9,622",85.00%,"1,696",15.00%,"2,212",87.70%,310,12.30%,"22,973",87.40%,"3,313",12.60%,"2,534",100.00%
Avon and Somerset,4,66.70%,2,33.30%,821,78.80%,221,21.20%,128,68.80%,58,31.20%,93,80.90%,22,19.10%,11,91.70%,1,8.30%,612,93.70%,41,6.30%,58,80.60%,14,19.40%,177,89.80%,20,10.20%,257,94.10%,16,5.90%,224,83.30%,45,16.70%,32,74.40%,11,25.60%,610,87.50%,87,12.50%,64,100.00%
Bedfordshire,3,100.00%,0,0.00%,265,80.30%,65,19.70%,15,88.20%,2,11.80%,36,87.80%,5,12.20%,9,64.30%,5,35.70%,216,92.30%,18,7.70%,32,91.40%,3,8.60%,43,81.10%,10,18.90%,102,99.00%,1,1.00%,88,83.00%,18,17.00%,28,96.60%,1,3.40%,277,82.70%,58,17.30%,56,100.00%
Cambridgeshire,5,100.00%,0,0.00%,414,80.20%,102,19.80%,35,85.40%,6,14.60%,44,88.00%,6,12.00%,11,91.70%,1,8.30%,333,94.10%,21,5.90%,39,97.50%,1,2.50%,77,87.50%,11,12.50%,101,96.20%,4,3.80%,113,93.40%,8,6.60%,31,88.60%,4,11.40%,264,91.00%,26,9.00%,36,100.00%
Cheshire,3,50.00%,3,50.00%,763,83.70%,149,16.30%,50,69.40%,22,30.60%,62,87.30%,9,12.70%,13,92.90%,1,7.10%,548,94.60%,31,5.40%,47,88.70%,6,11.30%,124,89.20%,15,10.80%,283,95.90%,12,4.10%,302,89.90%,34,10.10%,58,86.60%,9,13.40%,585,88.80%,74,11.20%,27,100.00%
Cleveland,3,100.00%,0,0.00%,381,77.00%,114,23.00%,28,84.80%,5,15.20%,90,91.80%,8,8.20%,15,78.90%,4,21.10%,560,94.00%,36,6.00%,40,88.90%,5,11.10%,107,82.90%,22,17.10%,211,92.50%,17,7.50%,139,86.30%,22,13.70%,21,91.30%,2,8.70%,233,92.80%,18,7.20%,21,100.00%
Cumbria,4,100.00%,0,0.00%,360,88.70%,46,11.30%,16,88.90%,2,11.10%,23,85.20%,4,14.80%,5,100.00%,0,0.00%,264,96.40%,10,3.60%,11,91.70%,1,8.30%,67,88.20%,9,11.80%,85,95.50%,4,4.50%,111,91.70%,10,8.30%,14,87.50%,2,12.50%,292,89.00%,36,11.00%,8,100.00%
Derbyshire,3,60.00%,2,40.00%,527,82.30%,113,17.70%,18,90.00%,2,10.00%,53,81.50%,12,18.50%,18,66.70%,9,33.30%,445,91.00%,44,9.00%,39,90.70%,4,9.30%,118,85.50%,20,14.50%,162,92.60%,13,7.40%,161,87.50%,23,12.50%,38,90.50%,4,9.50%,303,87.60%,43,12.40%,33,100.00%
Devon and Cornwall,9,90.00%,1,10.00%,646,84.90%,115,15.10%,54,91.50%,5,8.50%,72,93.50%,5,6.50%,14,100.00%,0,0.00%,366,94.80%,20,5.20%,46,92.00%,4,8.00%,111,84.70%,20,15.30%,203,95.80%,9,4.20%,189,87.50%,27,12.50%,21,91.30%,2,8.70%,539,87.40%,78,12.60%,16,100.00%
Dorset,1,50.00%,1,50.00%,395,87.40%,57,12.60%,28,80.00%,7,20.00%,44,95.70%,2,4.30%,7,77.80%,2,22.20%,268,95.70%,12,4.30%,20,83.30%,4,16.70%,53,82.80%,11,17.20%,132,96.40%,5,3.60%,113,88.30%,15,11.70%,23,95.80%,1,4.20%,302,92.60%,24,7.40%,26,100.00%
