,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,242,84.00%,46,16.00%,"26,352",78.40%,"7,274",21.60%,"2,468",75.80%,789,24.20%,"2,895",86.40%,456,13.60%,939,81.00%,220,19.00%,"15,189",92.10%,"1,299",7.90%,"2,269",85.90%,372,14.10%,"4,763",86.10%,770,13.90%,"9,921",93.10%,731,6.90%,"8,864",85.00%,"1,564",15.00%,"1,968",87.60%,279,12.40%,"21,106",84.90%,"3,760",15.10%,"2,762",100.00%
Avon and Somerset,9,100.00%,0,0.00%,737,78.30%,204,21.70%,97,77.60%,28,22.40%,76,93.80%,5,6.20%,15,78.90%,4,21.10%,374,92.60%,30,7.40%,38,82.60%,8,17.40%,128,84.80%,23,15.20%,231,92.00%,20,8.00%,179,76.80%,54,23.20%,25,92.60%,2,7.40%,613,87.10%,91,12.90%,105,100.00%
Bedfordshire,2,100.00%,0,0.00%,214,81.10%,50,18.90%,7,77.80%,2,22.20%,34,73.90%,12,26.10%,9,81.80%,2,18.20%,112,91.10%,11,8.90%,17,77.30%,5,22.70%,36,83.70%,7,16.30%,78,96.30%,3,3.70%,57,87.70%,8,12.30%,18,90.00%,2,10.00%,196,74.00%,69,26.00%,67,100.00%
Cambridgeshire,3,100.00%,0,0.00%,316,78.40%,87,21.60%,25,80.60%,6,19.40%,19,76.00%,6,24.00%,15,88.20%,2,11.80%,169,92.30%,14,7.70%,26,100.00%,0,0.00%,45,88.20%,6,11.80%,95,94.10%,6,5.90%,74,86.00%,12,14.00%,27,90.00%,3,10.00%,268,87.60%,38,12.40%,63,100.00%
Cheshire,4,100.00%,0,0.00%,793,84.30%,148,15.70%,55,77.50%,16,22.50%,59,92.20%,5,7.80%,11,64.70%,6,35.30%,445,95.70%,20,4.30%,47,92.20%,4,7.80%,118,83.70%,23,16.30%,298,97.40%,8,2.60%,302,91.00%,30,9.00%,31,83.80%,6,16.20%,604,87.20%,89,12.80%,60,100.00%
Cleveland,0,-,0,-,309,77.30%,91,22.80%,15,83.30%,3,16.70%,89,92.70%,7,7.30%,13,100.00%,0,0.00%,591,93.70%,40,6.30%,35,89.70%,4,10.30%,103,88.00%,14,12.00%,138,93.90%,9,6.10%,133,86.40%,21,13.60%,20,74.10%,7,25.90%,234,89.70%,27,10.30%,22,100.00%
Cumbria,1,100.00%,0,0.00%,339,87.10%,50,12.90%,11,100.00%,0,0.00%,17,100.00%,0,0.00%,2,100.00%,0,0.00%,210,98.60%,3,1.40%,30,85.70%,5,14.30%,70,94.60%,4,5.40%,83,95.40%,4,4.60%,103,92.00%,9,8.00%,14,87.50%,2,12.50%,249,92.60%,20,7.40%,17,100.00%
Derbyshire,1,50.00%,1,50.00%,489,79.60%,125,20.40%,23,92.00%,2,8.00%,45,83.30%,9,16.70%,11,61.10%,7,38.90%,348,90.90%,35,9.10%,51,91.10%,5,8.90%,127,85.20%,22,14.80%,210,93.80%,14,6.30%,206,86.90%,31,13.10%,41,97.60%,1,2.40%,373,87.40%,54,12.60%,39,100.00%
Devon and Cornwall,5,83.30%,1,16.70%,521,86.50%,81,13.50%,21,87.50%,3,12.50%,39,86.70%,6,13.30%,11,91.70%,1,8.30%,230,95.80%,10,4.20%,29,87.90%,4,12.10%,100,89.30%,12,10.70%,160,94.70%,9,5.30%,162,87.10%,24,12.90%,22,88.00%,3,12.00%,552,90.30%,59,9.70%,27,100.00%
Dorset,1,100.00%,0,0.00%,394,84.20%,74,15.80%,27,84.40%,5,15.60%,36,83.70%,7,16.30%,5,62.50%,3,37.50%,170,92.90%,13,7.10%,29,90.60%,3,9.40%,53,88.30%,7,11.70%,116,96.70%,4,3.30%,125,91.90%,11,8.10%,23,95.80%,1,4.20%,394,88.50%,51,11.50%,53,100.00%
Durham,3,100.00%,0,0.00%,344,87.80%,48,12.20%,16,88.90%,2,11.10%,52,89.70%,6,10.30%,7,63.60%,4,36.40%,252,96.20%,10,3.80%,32,94.10%,2,5.90%,69,87.30%,10,12.70%,42,100.00%,0,0.00%,85,89.50%,10,10.50%,25,83.30%,5,16.70%,288,93.80%,19,6.20%,12,100.00%
Dyfed Powys,1,100.00%,0,0.00%,238,84.10%,45,15.90%,32,86.50%,5,13.50%,22,84.60%,4,15.40%,5,83.30%,1,16.70%,114,95.00%,6,5.00%,11,91.70%,1,8.30%,43,89.60%,5,10.40%,98,94.20%,6,5.80%,80,92.00%,7,8.00%,11,91.70%,1,8.30%,200,85.10%,35,14.90%,7,100.00%
Essex,6,85.70%,1,14.30%,712,81.20%,165,18.80%,80,80.80%,19,19.20%,73,86.90%,11,13.10%,23,82.10%,5,17.90%,321,91.70%,29,8.30%,42,93.30%,3,6.70%,123,90.40%,13,9.60%,231,97.50%,6,2.50%,131,85.60%,22,14.40%,32,82.10%,7,17.90%,680,80.70%,163,19.30%,62,100.00%
