,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,312,83.9%,60,16.1%,"25,438",79.5%,"6,553",20.5%,"2,329",80.8%,555,19.2%,"2,833",88.1%,382,11.9%,946,80.1%,235,19.9%,"15,109",91.7%,"1,360",8.3%,"2,645",86.7%,407,13.3%,"4,495",85.4%,766,14.6%,"10,844",93.1%,807,6.9%,"8,559",85.0%,"1,505",15.0%,"1,949",86.1%,314,13.9%,"22,839",85.0%,"4,046",15.0%,"2,565",100.0%
Avon and Somerset,11,78.6%,3,21.4%,708,79.8%,179,20.2%,97,80.8%,23,19.2%,41,77.4%,12,22.6%,17,89.5%,2,10.5%,353,91.2%,34,8.8%,67,81.7%,15,18.3%,143,87.2%,21,12.8%,268,91.2%,26,8.8%,213,81.3%,49,18.7%,19,79.2%,5,20.8%,622,89.4%,74,10.6%,105,100.0%
Bedfordshire,4,100.0%,0,0.0%,178,80.9%,42,19.1%,13,92.9%,1,7.1%,38,84.4%,7,15.6%,11,84.6%,2,15.4%,121,92.4%,10,7.6%,8,61.5%,5,38.5%,39,86.7%,6,13.3%,78,95.1%,4,4.9%,43,82.7%,9,17.3%,13,100.0%,0,0.0%,236,86.1%,38,13.9%,33,100.0%
Cambridgeshire,4,100.0%,0,0.0%,316,77.6%,91,22.4%,27,90.0%,3,10.0%,52,92.9%,4,7.1%,7,53.8%,6,46.2%,139,86.3%,22,13.7%,34,91.9%,3,8.1%,55,79.7%,14,20.3%,110,94.0%,7,6.0%,84,89.4%,10,10.6%,17,68.0%,8,32.0%,327,85.6%,55,14.4%,40,100.0%
Cheshire,2,66.7%,1,33.3%,668,85.1%,117,14.9%,36,83.7%,7,16.3%,42,85.7%,7,14.3%,8,100.0%,0,0.0%,365,94.1%,23,5.9%,30,81.1%,7,18.9%,93,86.1%,15,13.9%,223,95.7%,10,4.3%,224,89.2%,27,10.8%,26,61.9%,16,38.1%,506,89.6%,59,10.4%,36,100.0%
Cleveland,5,71.4%,2,28.6%,328,80.8%,78,19.2%,25,96.2%,1,3.8%,73,93.6%,5,6.4%,16,94.1%,1,5.9%,438,94.8%,24,5.2%,27,87.1%,4,12.9%,92,85.2%,16,14.8%,122,91.0%,12,9.0%,115,89.1%,14,10.9%,18,75.0%,6,25.0%,274,92.6%,22,7.4%,26,100.0%
Cumbria,1,100.0%,0,0.0%,301,86.7%,46,13.3%,15,100.0%,0,0.0%,18,100.0%,0,0.0%,6,75.0%,2,25.0%,198,96.1%,8,3.9%,14,100.0%,0,0.0%,54,90.0%,6,10.0%,82,98.8%,1,1.2%,93,93.0%,7,7.0%,14,100.0%,0,0.0%,269,87.9%,37,12.1%,15,100.0%
Derbyshire,4,100.0%,0,0.0%,454,82.4%,97,17.6%,37,90.2%,4,9.8%,35,83.3%,7,16.7%,3,75.0%,1,25.0%,328,92.7%,26,7.3%,49,92.5%,4,7.5%,120,90.2%,13,9.8%,174,93.0%,13,7.0%,163,89.6%,19,10.4%,20,69.0%,9,31.0%,425,90.2%,46,9.8%,30,100.0%
Devon and Cornwall,3,75.0%,1,25.0%,534,86.4%,84,13.6%,34,97.1%,1,2.9%,44,86.3%,7,13.7%,15,75.0%,5,25.0%,238,94.4%,14,5.6%,46,95.8%,2,4.2%,114,91.9%,10,8.1%,180,95.2%,9,4.8%,187,91.7%,17,8.3%,20,87.0%,3,13.0%,625,89.4%,74,10.6%,19,100.0%
Dorset,3,100.0%,0,0.0%,373,85.2%,65,14.8%,23,100.0%,0,0.0%,34,89.5%,4,10.5%,7,100.0%,0,0.0%,202,89.8%,23,10.2%,31,100.0%,0,0.0%,68,91.9%,6,8.1%,133,90.5%,14,9.5%,97,88.2%,13,11.8%,23,88.5%,3,11.5%,402,88.9%,50,11.1%,46,100.0%
Durham,5,83.3%,1,16.7%,352,81.9%,78,18.1%,15,68.2%,7,31.8%,32,74.4%,11,25.6%,5,100.0%,0,0.0%,222,96.1%,9,3.9%,22,95.7%,1,4.3%,68,87.2%,10,12.8%,57,98.3%,1,1.7%,87,88.8%,11,11.2%,13,86.7%,2,13.3%,282,95.6%,13,4.4%,7,100.0%
Dyfed Powys,1,100.0%,0,0.0%,266,84.4%,49,15.6%,23,88.5%,3,11.5%,28,96.6%,1,3.4%,2,100.0%,0,0.0%,128,94.8%,7,5.2%,12,92.3%,1,7.7%,47,88.7%,6,11.3%,142,97.9%,3,2.1%,72,90.0%,8,10.0%,8,80.0%,2,20.0%,215,90.7%,22,9.3%,4,100.0%
Essex,18,78.3%,5,21.7%,761,78.9%,203,21.1%,77,80.2%,19,19.8%,71,87.7%,10,12.3%,34,81.0%,8,19.0%,408,94.0%,26,6.0%,53,88.3%,7,11.7%,109,90.8%,11,9.2%,242,94.2%,15,5.8%,153,92.2%,13,7.8%,34,77.3%,10,22.7%,792,79.3%,207,20.7%,57,100.0%
Gloucestershire,3,100.0%,0,0.0%,228,82.6%,48,17.4%,12,92.3%,1,7.7%,33,100.0%,0,0.0%,6,85.7%,1,14.3%,134,96.4%,5,3.6%,25,100.0%,0,0.0%,33,86.8%,5,13.2%,73,94.8%,4,5.2%,59,85.5%,10,14.5%,5,62.5%,3,37.5%,201,95.7%,9,4.3%,11,100.0%
GreaterManchester,14,93.3%,1,6.7%,1230,83.3%,246,16.7%,180,76.6%,55,23.4%,159,93.5%,11,6.5%,79,82.3%,17,17.7%,456,96.4%,17,3.6%,85,85.0%,15,15.0%,201,90.1%,22,9.9%,341,93.9%,22,6.1%,424,89.5%,50,10.5%,93,88.6%,12,11.4%,973,84.0%,186,16.0%,75,100.0%
Gwent,2,100.0%,0,0.0%,260,78.8%,70,21.2%,12,66.7%,6,33.3%,21,91.3%,2,8.7%,13,81.3%,3,18.8%,127,95.5%,6,4.5%,9,90.0%,1,10.0%,53,88.3%,7,11.7%,106,94.6%,6,5.4%,94,84.7%,17,15.3%,18,85.7%,3,14.3%,257,83.4%,51,16.6%,15,100.0%
Hampshire,14,100.0%,0,0.0%,802,80.8%,190,19.2%,80,72.7%,30,27.3%,75,89.3%,9,10.7%,20,90.9%,2,9.1%,478,90.4%,51,9.6%,201,83.1%,41,16.9%,126,88.1%,17,11.9%,201,91.8%,18,8.2%,169,88.5%,22,11.5%,52,92.9%,4,7.1%,624,90.4%,66,9.6%,91,100.0%
Hertfordshire,7,100.0%,0,0.0%,331,79.6%,85,20.4%,12,80.0%,3,20.0%,37,88.1%,5,11.9%,11,91.7%,1,8.3%,372,94.4%,22,5.6%,50,82.0%,11,18.0%,50,80.6%,12,19.4%,201,93.9%,13,6.1%,93,87.7%,13,12.3%,24,96.0%,1,4.0%,332,84.9%,59,15.1%,52,100.0%
Humberside,4,100.0%,0,0.0%,536,82.1%,117,17.9%,18,94.7%,1,5.3%,60,84.5%,11,15.5%,17,77.3%,5,22.7%,383,93.4%,27,6.6%,46,95.8%,2,4.2%,113,91.1%,11,8.9%,114,91.9%,10,8.1%,170,85.0%,30,15.0%,30,83.3%,6,16.7%,317,90.6%,33,9.4%,33,100.0%
Kent,16,88.9%,2,11.1%,594,76.6%,181,23.4%,40,88.9%,5,11.1%,60,88.2%,8,11.8%,16,72.7%,6,27.3%,223,92.9%,17,7.1%,37,84.1%,7,15.9%,101,87.8%,14,12.2%,156,91.2%,15,8.8%,129,82.2%,28,17.8%,73,83.0%,15,17.0%,539,78.6%,147,21.4%,88,100.0%
Lancashire,9,100.0%,0,0.0%,757,80.3%,186,19.7%,46,92.0%,4,8.0%,94,89.5%,11,10.5%,25,86.2%,4,13.8%,425,93.4%,30,6.6%,47,90.4%,5,9.6%,169,90.9%,17,9.1%,149,95.5%,7,4.5%,268,86.7%,41,13.3%,55,96.5%,2,3.5%,675,84.0%,129,16.0%,81,100.0%
Leicestershire,3,75.0%,1,25.0%,469,83.8%,91,16.3%,55,69.6%,24,30.4%,49,90.7%,5,9.3%,14,70.0%,6,30.0%,234,94.7%,13,5.3%,34,77.3%,10,22.7%,77,84.6%,14,15.4%,102,95.3%,5,4.7%,114,82.6%,24,17.4%,28,96.6%,1,3.4%,394,85.7%,66,14.3%,32,100.0%
Lincolnshire,6,85.7%,1,14.3%,351,86.7%,54,13.3%,18,100.0%,0,0.0%,22,91.7%,2,8.3%,5,100.0%,0,0.0%,239,91.2%,23,8.8%,19,90.5%,2,9.5%,63,90.0%,7,10.0%,111,94.1%,7,5.9%,122,85.9%,20,14.1%,26,92.9%,2,7.1%,461,78.9%,123,21.1%,24,100.0%
Merseyside,4,80.0%,1,20.0%,925,86.5%,144,13.5%,67,83.8%,13,16.3%,70,94.6%,4,5.4%,31,88.6%,4,11.4%,461,96.8%,15,3.2%,361,90.0%,40,10.0%,129,88.4%,17,11.6%,716,93.6%,49,6.4%,308,86.8%,47,13.2%,65,85.5%,11,14.5%,781,88.8%,99,11.3%,55,100.0%
Metropolitan and City,47,72.3%,18,27.7%,3064,69.3%,1358,30.7%,283,74.9%,95,25.1%,467,84.4%,86,15.6%,235,77.8%,67,22.2%,1684,82.8%,349,17.2%,431,84.0%,82,16.0%,448,74.7%,152,25.3%,2593,90.7%,267,9.3%,1188,76.3%,369,23.7%,502,88.1%,68,11.9%,3136,76.2%,981,23.8%,546,100.0%
Norfolk,1,50.0%,1,50.0%,440,82.6%,93,17.4%,30,93.8%,2,6.3%,27,79.4%,7,20.6%,3,42.9%,4,57.1%,267,93.0%,20,7.0%,17,89.5%,2,10.5%,95,93.1%,7,6.9%,207,96.7%,7,3.3%,291,90.7%,30,9.3%,28,84.8%,5,15.2%,460,90.2%,50,9.8%,30,100.0%
Northamptonshire,3,75.0%,1,25.0%,388,82.2%,84,17.8%,14,93.3%,1,6.7%,23,82.1%,5,17.9%,8,66.7%,4,33.3%,160,85.6%,27,14.4%,27,90.0%,3,10.0%,64,80.0%,16,20.0%,101,90.2%,11,9.8%,78,89.7%,9,10.3%,26,89.7%,3,10.3%,334,89.5%,39,10.5%,46,100.0%
Northumbria,5,83.3%,1,16.7%,754,75.1%,250,24.9%,107,79.3%,28,20.7%,110,90.2%,12,9.8%,26,96.3%,1,3.7%,519,92.0%,45,8.0%,59,76.6%,18,23.4%,200,86.6%,31,13.4%,217,93.1%,16,6.9%,386,82.8%,80,17.2%,38,84.4%,7,15.6%,484,84.6%,88,15.4%,53,100.0%
North Wales,4,100.0%,0,0.0%,404,85.8%,67,14.2%,41,77.4%,12,22.6%,24,92.3%,2,7.7%,5,71.4%,2,28.6%,225,97.4%,6,2.6%,26,86.7%,4,13.3%,101,86.3%,16,13.7%,112,97.4%,3,2.6%,176,95.7%,8,4.3%,33,82.5%,7,17.5%,364,85.4%,62,14.6%,17,100.0%
North Yorkshire,2,100.0%,0,0.0%,324,81.6%,73,18.4%,18,90.0%,2,10.0%,40,83.3%,8,16.7%,2,100.0%,0,0.0%,259,90.9%,26,9.1%,28,82.4%,6,17.6%,80,81.6%,18,18.4%,95,95.0%,5,5.0%,135,84.4%,25,15.6%,28,71.8%,11,28.2%,399,90.3%,43,9.7%,31,100.0%
Nottinghamshire,13,72.2%,5,27.8%,569,81.4%,130,18.6%,98,79.0%,26,21.0%,56,88.9%,7,11.1%,21,77.8%,6,22.2%,433,91.4%,41,8.6%,36,83.7%,7,16.3%,119,84.4%,22,15.6%,419,93.3%,30,6.7%,260,88.1%,35,11.9%,46,93.9%,3,6.1%,422,92.7%,33,7.3%,53,100.0%
South Wales,11,91.7%,1,8.3%,838,76.5%,258,23.5%,60,80.0%,15,20.0%,80,93.0%,6,7.0%,13,65.0%,7,35.0%,583,95.3%,29,4.7%,180,92.3%,15,7.7%,154,86.0%,25,14.0%,406,92.9%,31,7.1%,271,84.7%,49,15.3%,51,96.2%,2,3.8%,735,83.7%,143,16.3%,48,100.0%
