Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,219,82.60%,46,17.40%,"29,338",75.30%,"9,645",24.70%,"2,669",72.40%,"1,020",27.60%,"3,900",84.20%,733,15.80%,"1,371",80.50%,333,19.50%,"27,635",91.80%,"2,470",8.20%,"2,195",85.80%,363,14.20%,"7,016",85.10%,"1,229",14.90%,"12,198",93.80%,800,6.20%,"10,954",84.90%,"1,949",15.10%,"5,419",84.50%,996,15.50%,"23,946",84.70%,"4,336",15.30%,"2,222",100.00%,
Avon and Somerset,14,93.30%,1,6.70%,752,76.60%,230,23.40%,133,69.30%,59,30.70%,79,91.90%,7,8.10%,27,87.10%,4,12.90%,784,95.00%,41,5.00%,50,84.70%,9,15.30%,208,87.00%,31,13.00%,300,95.80%,13,4.20%,261,87.30%,38,12.70%,157,84.40%,29,15.60%,639,83.00%,131,17.00%,94,100.00%,
Bedfordshire,2,100.00%,0,0.00%,260,73.70%,93,26.30%,14,63.60%,8,36.40%,43,91.50%,4,8.50%,43,95.60%,2,4.40%,225,91.80%,20,8.20%,27,87.10%,4,12.90%,69,83.10%,14,16.90%,98,96.10%,4,3.90%,104,86.70%,16,13.30%,48,76.20%,15,23.80%,199,88.10%,27,11.90%,33,100.00%,
Cambridgeshire,1,100.00%,0,0.00%,316,79.60%,81,20.40%,18,75.00%,6,25.00%,48,94.10%,3,5.90%,18,69.20%,8,30.80%,244,90.70%,25,9.30%,28,90.30%,3,9.70%,70,89.70%,8,10.30%,114,94.20%,7,5.80%,115,91.30%,11,8.70%,37,88.10%,5,11.90%,267,88.10%,36,11.90%,31,100.00%,
Cheshire,2,100.00%,0,0.00%,619,81.70%,139,18.30%,61,84.70%,11,15.30%,70,88.60%,9,11.40%,7,70.00%,3,30.00%,518,92.20%,44,7.80%,35,89.70%,4,10.30%,117,87.30%,17,12.70%,290,96.00%,12,4.00%,173,88.30%,23,11.70%,144,88.30%,19,11.70%,442,88.60%,57,11.40%,29,100.00%,
Cleveland,3,100.00%,0,0.00%,338,73.80%,120,26.20%,39,76.50%,12,23.50%,85,87.60%,12,12.40%,20,95.20%,1,4.80%,819,91.50%,76,8.50%,38,88.40%,5,11.60%,131,81.90%,29,18.10%,191,92.30%,16,7.70%,275,80.90%,65,19.10%,27,67.50%,13,32.50%,227,91.50%,21,8.50%,14,100.00%,
Cumbria,0,-,0,-,269,83.50%,53,16.50%,20,76.90%,6,23.10%,33,86.80%,5,13.20%,2,100.00%,0,0.00%,256,94.10%,16,5.90%,17,100.00%,0,0.00%,81,94.20%,5,5.80%,129,98.50%,2,1.50%,118,94.40%,7,5.60%,147,92.50%,12,7.50%,255,85.90%,42,14.10%,8,100.00%,
Derbyshire,1,50.00%,1,50.00%,528,76.40%,163,23.60%,36,78.30%,10,21.70%,52,78.80%,14,21.20%,11,50.00%,11,50.00%,456,93.40%,32,6.60%,46,92.00%,4,8.00%,124,82.10%,27,17.90%,224,95.30%,11,4.70%,242,84.30%,45,15.70%,60,78.90%,16,21.10%,341,88.60%,44,11.40%,30,100.00%,
Devon and Cornwall,2,100.00%,0,0.00%,540,73.90%,191,26.10%,19,82.60%,4,17.40%,64,84.20%,12,15.80%,14,82.40%,3,17.60%,455,93.40%,32,6.60%,20,83.30%,4,16.70%,144,84.70%,26,15.30%,220,94.80%,12,5.20%,151,82.10%,33,17.90%,204,92.70%,16,7.30%,519,88.70%,66,11.30%,53,100.00%,
Dorset,1,100.00%,0,0.00%,321,80.50%,78,19.50%,29,78.40%,8,21.60%,48,96.00%,2,4.00%,4,80.00%,1,20.00%,310,91.20%,30,8.80%,18,90.00%,2,10.00%,66,89.20%,8,10.80%,133,95.70%,6,4.30%,120,88.90%,15,11.10%,13,86.70%,2,13.30%,253,89.40%,30,10.60%,19,100.00%,
Durham,0,-,0,-,339,77.40%,99,22.60%,30,73.20%,11,26.80%,77,93.90%,5,6.10%,7,100.00%,0,0.00%,371,91.40%,35,8.60%,24,85.70%,4,14.30%,127,86.40%,20,13.60%,64,94.10%,4,5.90%,171,82.60%,36,17.40%,32,84.20%,6,15.80%,222,92.90%,17,7.10%,4,100.00%,
Dyfed Powys,0,-,0,-,230,78.80%,62,21.20%,16,64.00%,9,36.00%,20,87.00%,3,13.00%,2,100.00%,0,0.00%,138,92.00%,12,8.00%,7,100.00%,0,0.00%,76,85.40%,13,14.60%,223,95.30%,11,4.70%,104,86.00%,17,14.00%,7,77.80%,2,22.20%,168,81.60%,38,18.40%,10,100.00%,
Essex,3,100.00%,0,0.00%,809,74.70%,274,25.30%,118,70.20%,50,29.80%,63,81.80%,14,18.20%,24,72.70%,9,27.30%,495,89.50%,58,10.50%,47,81.00%,11,19.00%,168,85.70%,28,14.30%,212,91.80%,19,8.20%,140,83.30%,28,16.70%,120,86.30%,19,13.70%,551,75.10%,183,24.90%,62,100.00%,
Gloucestershire,0,-,0,-,213,73.20%,78,26.80%,11,91.70%,1,8.30%,36,92.30%,3,7.70%,4,100.00%,0,0.00%,215,94.30%,13,5.70%,13,86.70%,2,13.30%,50,94.30%,3,5.70%,58,96.70%,2,3.30%,55,88.70%,7,11.30%,51,85.00%,9,15.00%,155,86.10%,25,13.90%,32,100.00%,
GreaterManchester,5,50.00%,5,50.00%,1968,78.70%,533,21.30%,165,66.50%,83,33.50%,248,91.20%,24,8.80%,102,85.00%,18,15.00%,1354,93.00%,102,7.00%,124,87.30%,18,12.70%,444,90.20%,48,9.80%,510,92.20%,43,7.80%,693,87.90%,95,12.10%,222,88.10%,30,11.90%,1270,83.30%,255,16.70%,94,100.00%,
Gwent,3,50.00%,3,50.00%,343,79.60%,88,20.40%,19,63.30%,11,36.70%,51,86.40%,8,13.60%,17,89.50%,2,10.50%,292,93.30%,21,6.70%,14,87.50%,2,12.50%,113,87.60%,16,12.40%,144,98.00%,3,2.00%,176,88.90%,22,11.10%,26,96.30%,1,3.70%,207,92.00%,18,8.00%,11,100.00%,
Hampshire,8,88.90%,1,11.10%,963,79.30%,251,20.70%,114,76.50%,35,23.50%,81,79.40%,21,20.60%,42,87.50%,6,12.50%,695,92.80%,54,7.20%,63,94.00%,4,6.00%,189,85.90%,31,14.10%,259,91.20%,25,8.80%,260,85.00%,46,15.00%,53,86.90%,8,13.10%,719,89.50%,84,10.50%,43,100.00%,
Hertfordshire,2,50.00%,2,50.00%,467,75.80%,149,24.20%,18,85.70%,3,14.30%,63,87.50%,9,12.50%,17,77.30%,5,22.70%,535,90.40%,57,9.60%,49,87.50%,7,12.50%,105,83.30%,21,16.70%,177,92.20%,15,7.80%,162,84.40%,30,15.60%,84,84.80%,15,15.20%,384,81.90%,85,18.10%,69,100.00%,
Humberside,2,100.00%,0,0.00%,491,84.10%,93,15.90%,68,68.00%,32,32.00%,83,80.60%,20,19.40%,19,82.60%,4,17.40%,604,93.10%,45,6.90%,27,90.00%,3,10.00%,129,83.80%,25,16.20%,194,95.60%,9,4.40%,255,88.20%,34,11.80%,87,86.10%,14,13.90%,386,85.40%,66,14.60%,23,100.00%,
Kent,7,100.00%,0,0.00%,784,75.90%,249,24.10%,67,65.00%,36,35.00%,115,85.20%,20,14.80%,28,70.00%,12,30.00%,763,84.10%,144,15.90%,68,91.90%,6,8.10%,172,81.90%,38,18.10%,247,93.90%,16,6.10%,193,81.10%,45,18.90%,165,82.90%,34,17.10%,593,86.60%,92,13.40%,70,100.00%,
Lancashire,2,100.00%,0,0.00%,834,77.10%,248,22.90%,91,75.20%,30,24.80%,146,90.10%,16,9.90%,49,92.50%,4,7.50%,811,93.40%,57,6.60%,50,82.00%,11,18.00%,236,84.60%,43,15.40%,318,94.40%,19,5.60%,400,85.80%,66,14.20%,308,87.70%,43,12.30%,754,86.20%,121,13.80%,35,100.00%,
